Name,TotalDecRate,ApproDate,TotalReqRate
div5802358,0.0009339,19801215,0.0009339
div5802359,0.0009339,19801215,0.0009339
div5802360,0.0009339,19801215,0.0009339
div5802362,0.0009339,20010928,0.0009339
div5802365,0.0,20080801,0.0
div5802374,0.2264,19810112,0.2264
div5802381,0.01132,19810624,0.01132
div5802383,0.0,19990831,0.0
div5802400,0.00283,19810819,0.00283
div5802413,0.0283,19700501,0.0283
div5802414,0.0009339,19810801,0.0009339
div5802415,0.004245,19811116,0.004245
div5802416,0.004245,19811116,0.004245
div5802417,0.0003113,19780527,0.0003113
div5802422,0.05943,19260515,0.05943
div5802423,0.02547,19260515,0.02547
div5802424,0.0009339,19820513,0.0009339
div5802425,0.0009339,19820513,0.0009339
div5802430,0.0009339,19820205,0.0009339
div5802431,0.0,20030806,0.0
div5802435,0.0283,18880501,0.0283
div5802449,0.0009339,19700810,0.0009339
div5802467,0.0006226,19710601,0.0006226
div5802476,0.0037356,19381231,0.0037356
div5802477,0.0009339,19361231,0.0009339
div5802481,0.0009339,19800821,0.0009339
div5802493,0.0031413,19510501,0.0031413
div5802502,0.015565,19800612,0.015565
div5802505,0.0566,19170525,0.0566
div5802521,0.0009339,19820901,0.0009339
div5802522,0.0009339,19820901,0.0009339
div5802523,0.0009339,19830301,0.0009339
div5802526,0.0009339,19830613,0.0009339
div5802533,0.0009339,19811025,0.0009339
div5802534,0.0009339,19830726,0.0009339
div5802535,0.0018678,19770901,0.0018678
div5802536,0.0018678,19760601,0.0018678
div5802539,0.0,20000830,0.0
div5802540,0.0006226,20030605,0.0006226
div5802541,0.003113,20030829,0.003113
div5802545,0.0009339,19380801,0.0009339
div5802555,0.0283,19220701,0.0283
div5802556,0.0006226,19831020,0.0006226
div5802559,0.00283,19800818,0.00283
div5802564,0.04245,18930521,0.04245
div5802568,0.0283,20031002,0.0283
div5802574,0.0047261,20020710,0.0047261
div5802576,0.0009339,19980616,0.0009339
div5802578,0.146028,18900501,0.146028
div5802580,0.0018395,20030825,0.0018395
div5802581,0.0004245,19950701,0.0004245
div5802582,0.0,19950701,0.0
div5802584,0.0,20010430,0.0
div5802585,0.0,20010430,0.0
div5802586,0.0,20010430,0.0
div5802587,0.0,20010430,0.0
div5802588,0.0,20010430,0.0
div5802596,0.0009339,20040630,0.0009339
div5802604,0.026885,19400501,0.026885
div5802605,0.0243097,20030614,0.0243097
div5802606,0.0009339,20031006,0.0009339
div5802607,0.0009339,20031006,0.0009339
div5802608,0.0009339,20031006,0.0009339
div5802609,0.0283,20050912,0.0283
div5802610,0.026885,19300501,0.026885
div5802611,0.04245,19300501,0.04245
div5802620,0.000566,19740430,0.000566
