Name,CalYear,Region,SubRegion,CropType,IrrigType,LandSize,DecreedRate,ParcelRatioToDiv
par65801040,2010,Div6,Dist58,1,1,101123.6458,5800932=0.10754,5800932=1.0
par65801799,2010,Div6,Dist58,1,1,100793.5366,5804685=0.0166041007264,5804685=0.0190307278675
par65801633,2010,Div6,Dist58,1,1,100544.1604,5800895=0.0725888111391,5800895=0.197305819894
par65801509,2010,Div6,Dist58,1,1,100266.2207,5802123=0.0,5802123=1.0
par65801475,2010,Div6,Dist58,1,1,100219.4928,5800884=0.221823439768,5800884=0.803926573411
par65800507,2010,Div6,Dist58,1,1,99936.11349,5800905=0.0566,5800905=1.0
par65800333,2010,Div6,Dist58,1,1,99931.47851,5801403=0.079205566268,5801403=0.699695815088
par65801467,2010,Div6,Dist58,1,1,99131.09366,5801773=0.0,5801773=0.870862023153
par65801650,2010,Div6,Dist58,1,3,98686.70247,5803609=0.142677085959,5803609=1.0
par65800823,2010,Div6,Dist58,1,1,98343.58816,5800530=0.0626717053612,5800530=0.0446481429964
par65800292,2010,Div6,Dist58,1,1,96220.54092,5800838=0.018678,5800838=1.0
par65800536,2010,Div6,Dist58,1,1,96157.9654,5800509=0.04528,5800509=1.0
par65801468,2010,Div6,Dist58,1,1,96032.63765,5800829=0.0265763405366,5800829=0.250424881381
par65800562,2010,Div6,Dist58,1,1,95682.75973,5800703=0.018678,5800703=1.0
par65801606,2010,Div6,Dist58,1,1,95436.50641,5800881=0.07641,5800881=1.0
par65800157,2010,Div6,Dist58,1,1,95318.82824,5801689=0.0,5801689=1.0
par65801678,2010,Div6,Dist58,1,1,95130.14379,5801044=0.0566,5801044=1.0
par65801469,2010,Div6,Dist58,1,1,95118.0102,5801962=0.0,5801962=1.0
par65801484,2010,Div6,Dist58,1,1,94904.9957,5800868=0.0352613720208,5800868=0.0527133255937
par65801580,2010,Div6,Dist58,1,1,94608.80095,5800915=0.136878950889,5800915=0.350740539923
par65801763,2010,Div6,Dist58,1,1,94020.43427,5800664=0.0455340927287,5800664=0.32179570833
par65801044,2010,Div6,Dist58,1,1,93728.29681,5801656=0.0283,5801656=1.0
par65800283,2010,Div6,Dist58,1,1,93651.92431,5800522=0.07075,5800522=1.0
par65801506,2010,Div6,Dist58,1,1,93145.0153,5800783=0.0356403181879,5800783=0.0532280304728
par65801535,2010,Div6,Dist58,1,1,92892.79054,5800743=0.36507,5800743=1.0
par65800265,2010,Div6,Dist58,1,1,92540.48125,5800732=0.13584,5800732=1.0
par65801745,2010,Div6,Dist58,1,1,92334.23946,5801085=0.0665349924632,5801085=0.15673732029
par65801651,2010,Div6,Dist58,1,1,91889.7155,5800651=0.0,5800651=1.0
par65800360,2010,Div6,Dist58,1,1,91785.41264,5801785=0.0,5801785=0.556359357816
par65800301,2010,Div6,Dist58,1,99,91054.3043,5800730=0.0278743841633,5800730=0.0831892374275
par65801174,2010,Div6,Dist58,1,1,90857.07066,5800803=0.04245,5800803=1.0
par65801464,2010,Div6,Dist58,1,1,89759.3548,5801428=0.157305217734,5801428=0.694811032393
par65800545,2010,Div6,Dist58,1,1,89187.04816,5800920=0.0281209525456,5800920=0.0131612348984
par65800303,2010,Div6,Dist58,1,99,88141.70686,5800730=0.0269827529485,5800730=0.0805282236311
par65801176,2010,Div6,Dist58,1,1,87544.59705,5801981=0.01415,5801981=1.0
par65800313,2010,Div6,Dist58,1,1,86014.4753,5800828=0.0231084000819,5800828=0.408275619822
par65800305,2010,Div6,Dist58,1,1,85869.09918,5800722=0.0260876310264,5800722=0.134966971873
par65800336,2010,Div6,Dist58,1,1,85827.9886,5800741=0.0430075862327,5800741=0.336217410118
par65800440,2010,Div6,Dist58,1,1,83918.52546,5800533=0.0364460866908,5800533=0.386741016891
par65801560,2010,Div6,Dist58,1,1,83660.9996,5800568=0.0394024967636,5800568=0.0706758565113
par65800526,2010,Div6,Dist58,1,1,82284.37093,5800568=0.038754134839,5800568=0.0695128963409
par65801488,2010,Div6,Dist58,1,1,81946.5,5800868=0.0304467220191,5800868=0.0455157550338
par65800259,2010,Div6,Dist58,1,1,81898.91088,5800615=0.0536757434381,5800615=0.643811737759
par65801593,2010,Div6,Dist58,1,1,81879.6644,5801999=0.0,5801999=1.0
par65800311,2010,Div6,Dist58,1,1,81348.28101,5800725=0.0484336266792,5800725=0.342287114341
par65800150,2010,Div6,Dist58,1,1,80428.74526,5801086=0.03679,5801086=1.0
par65801645,2010,Div6,Dist58,1,1,79372.20771,5800784=0.0790697527083,5800784=0.67163081602
par65801546,2010,Div6,Dist58,1,1,79316.61586,5800878=0.0231390523373,5800878=0.408817179104
par65800337,2010,Div6,Dist58,1,1,79147.11196,5800867=0.0395539407009,5800867=0.46588858305
par65801785,2010,Div6,Dist58,1,1,78695.27572,5800551=0.046695,5800551=1.0
par65801497,2010,Div6,Dist58,1,1,78044.91146,5800548=0.057677816375,5800548=0.727887637241
par65801547,2010,Div6,Dist58,1,1,77415.17978,5800746=0.148230942177,5800746=0.385135476452
par65801521,2010,Div6,Dist58,1,1,76874.50389,5800943=0.0214427826501;5801091=0.010496669803,5800943=0.0512302569307;5801091=0.0512302569307
par65801472,2010,Div6,Dist58,1,1,76712.06098,5803519=1.6255900279,5803519=0.829220562683
par65801443,2010,Div6,Dist58,1,3,76423.74009,5801782=0.0188761,5801782=1.0
par65801760,2010,Div6,Dist58,1,1,76032.82638,5801085=0.0547883814253,5801085=0.129065680625
par65801177,2010,Div6,Dist58,1,1,75978.3898,5800843=0.1132,5800843=1.0
par65800511,2010,Div6,Dist58,1,1,75705.71795,5800794=0.0246670480851,5800794=0.581084760544
par65801755,2010,Div6,Dist58,1,1,75404.24322,5800878=0.0219976950782,5800878=0.388651856505
par65800381,2010,Div6,Dist58,1,1,75337.37383,5800556=0.084239841562,5800556=0.531548722627
par65800334,2010,Div6,Dist58,1,1,75293.01695,5800798=0.0127584832872,5800798=0.0483204499609
par65801619,2010,Div6,Dist58,1,1,75059.51451,5800717=0.0278206336192,5800717=0.16662055231
par65800319,2010,Div6,Dist58,1,1,74885.34083,5800541=0.0175687851524,5800541=0.0537493618233
par65801529,2010,Div6,Dist58,1,1,74195.03039,5800804=0.0566,5800804=1.0
par65801451,2010,Div6,Dist58,1,3,73606.49835,5802177=0.0,5802177=1.0
par65801628,2010,Div6,Dist58,1,1,73320.52727,5800694=0.052006135947,5800694=0.0708978645179
par65801796,2010,Div6,Dist58,1,1,73233.37404,5800676=0.0566,5800676=1.0
par65801680,2010,Div6,Dist58,1,1,73189.63694,5801785=0.0,5801785=0.443640642184
par65801688,2010,Div6,Dist58,1,1,72334.94986,5800738=0.0184990281014,5800738=0.0632793712141
par65801641,2010,Div6,Dist58,1,1,72199.94824,5802176=0.0,5802176=1.0
par65801570,2010,Div6,Dist58,1,1,71946.1975,5800714=0.0215804864673;5802795=0.0503508922379,5800714=0.0300339251386;5802795=0.29653057855
par65800393,2010,Div6,Dist58,1,1,71620.4518,5800763=0.0288268700256,5800763=0.032710896448
par65801630,2010,Div6,Dist58,1,1,71583.88055,5800833=0.0195103659769,5800833=0.689412225331
par65801444,2010,Div6,Dist58,1,3,71509.7554,5801045=0.01415,5801045=1.0
par65801620,2010,Div6,Dist58,1,1,71320.98895,5800706=0.101844085735,5800706=0.899682736177
par65800505,2010,Div6,Dist58,1,1,70664.02567,5800786=0.037639,5800786=1.0
par65800828,2010,Div6,Dist58,1,1,70622.17611,5801868=0.0,5801868=1.0
par65801607,2010,Div6,Dist58,1,1,70315.81145,5800880=0.04528,5800880=1.0
par65801511,2010,Div6,Dist58,1,1,69996.53064,5800626=0.023958285003,5800626=0.039857933566
par65801587,2010,Div6,Dist58,1,1,67723.65029,5800915=0.0979818167968,5800915=0.251069979006
par65801042,2010,Div6,Dist58,1,1,67712.46024,5800631=0.00543056475665,5800631=0.0721401306709
par65800338,2010,Div6,Dist58,1,1,67547.65984,5800867=0.0337570893698,5800867=0.397610004356
par65801581,2010,Div6,Dist58,1,1,67083.70506,5800714=0.0201219666852,5800714=0.0280040786838
par65801566,2010,Div6,Dist58,1,1,66727.92067,5801039=0.0209887837178,5801039=0.741653134906
par65800382,2010,Div6,Dist58,1,1,66394.45737,5800556=0.074240158438,5800556=0.468451277373
par65801613,2010,Div6,Dist58,1,1,65763.73914,5800910=0.03679,5800910=1.0
par65800352,2010,Div6,Dist58,1,1,65566.47511,5800596=0.09905,5800596=1.0
par65800151,2010,Div6,Dist58,1,1,64709.82518,5801081=0.04245,5801081=1.0
par65801517,2010,Div6,Dist58,1,1,64533.19954,5800695=0.102864744983,5800695=0.30725246344
par65800285,2010,Div6,Dist58,1,1,64032.95074,5800812=0.0319964180856,5800812=0.75374365337
par65801461,2010,Div6,Dist58,1,1,63825.5,5800583=0.110444152793;5801621=0.0566,5800583=0.780524048005;5801621=1.0
par65801559,2010,Div6,Dist58,1,1,63682.25959,5800568=0.0299929482004,5800568=0.0537980452376
par65801522,2010,Div6,Dist58,1,1,63552.60888,5800695=0.101301701326,5800695=0.302583720869
par65800271,2010,Div6,Dist58,1,1,63549.74946,5800622=0.025298355688,5800622=0.0525226104562
