Name,ElementID,DecreedAmount,RequestedAmount,AppropriationDate,ParcelIds
div5800850,1144,0.157348,0.157348,19030801,65800513
div5800851,2802,0.0566,0.0566,20020501,65800383
div5800857,18747,0.0849,0.0849,19050525,
div5800863,21190,0.3396,0.3396,18880601,65800153
div5800864,21044,0.1132,0.1132,18870905,65801664
div5800865,20331,0.09905,0.09905,18880819,
div5800866,22004,0.2264,0.2264,19010611,65800291;65800152
div5800867,21897,0.0849,0.0849,18870418,65800337;65800338;65800348
div5800868,21101,0.6689271,0.6689271,18870610,65801478;65801482;65801487;65801484;65801488;65801491;65801485;65801492;65801480;65801479;65801489;65801486;65801481;65801810;65801493;65801483
div5800871,13015,0.009622,0.009622,19350601,65800437
div5800872,22064,0.169234,0.169234,18890406,65800501
div5800873,7490,0.04528,0.04528,18850601,
div5800875,19738,0.04245,0.04245,19180101,65800315;65800314
div5800878,21657,0.0566,0.0566,18890801,65801546;65801755;65801551
div5800879,22017,0.5959131,0.5959131,18840614,65800278;65800280
div5800880,19562,0.04528,0.04528,19591217,65801607
div5800881,19559,0.07641,0.07641,19520504,65801606
div5800884,20603,0.275925,0.275925,19020502,65801477;65801476
div5800895,15792,0.3679,0.3679,19120501,65801632;65801633;65801634
div5800897,21263,1.33293,1.33293,18881029,65800515;65800528;65800518;65800516;65800517
div5800904,13022,0.010754,0.010754,18860501,65800433
div5800905,21039,0.0566,0.0566,18870521,65800507
div5800907,21047,0.046978,0.046978,18840527,65801512;65801836;65801514
div5800908,17182,0.157631,0.157631,18900501,65801508
div5800910,19228,0.03679,0.03679,19440601,65801613
div5800911,19228,0.0566,0.0566,19440601,65801614
div5800915,21392,0.390257,0.390257,18970607,65801580;65801587;65801584;65801586;65801588;65801583
div5800916,21050,0.414878,0.414878,18870521,65801764;65800508;65801820
div5800917,20268,0.185931,0.185931,19030415,65801663
div5800920,19239,2.13665,2.13665,18870720,65801552;65800538;65800548;65800546;65800547;65800545
div5800921,21992,0.021225,0.021225,18830614,65800316
div5800922,21263,0.1415,0.1415,18890904,65800514
div5800924,18249,0.13867,0.13867,18891019,65800512
div5800928,21223,0.15848,0.15848,18880905,65801622
div5800929,21331,0.028017,0.028017,19110719,65800331;65800332
div5800931,21331,0.028017,0.028017,18920531,65800330
